walk system,snmpwalk,.1.3.6.1.2.1.1,RFC1213-MIB,system
walk cisco.lsystem, snmpwalk, .1.3.6.1.4.1.9.2.1,OLD-CISCO-SYS-MIB,lsystem
table entPhysicalTable,snmptable -ib,.1.3.6.1.2.1.47.1.1.1         ,ENTITY-MIB,entPhysicalTable
table entLogicalTable,snmptable -ib,.1.3.6.1.2.1.47.1.2.1,ENTITY-MIB,entLogicalTable
walk chassis,snmpwalk,.1.3.6.1.4.1.9.3.6,OLD-CISCO-CHASSIS,chassis
table cdspCardStatusTable, snmptable -ib,.1.3.6.1.4.1.9.9.86.1.1.1,CISCO-DSP-MGMT-MIB,cdspCardStatusTable
get ifNumber,snmpget -Os, .1.3.6.1.2.1.2.1.0, IF-MIB, ifNumber
table ifTable, snmptable, .1.3.6.1.2.1.2.2, IF-MIB, ifTable
table lifTable, snmptable -ib,.1.3.6.1.4.1.9.2.2.1,OLD-CISCO-INTERFACES-MIB, lifTable
table dsx1TotalTable,snmptable -ib,.1.3.6.1.2.1.10.18.9,RFC1406-MIB,dsx1TotalTable
table dsx1FarEndCurrentTable,snmptable -ib,.1.3.6.1.2.1.10.18.10,RFC1406-MIB,dsx1FarEndCurrentTable
table dsx1FracTable,snmptable -ib,.1.3.6.1.2.1.10.18.13,RFC1406-MIB,dsx1FracTable
walk ip,snmpwalk,.1.3.6.1.2.1.4,IP-MIB,ip
table ipNetToMediaTable,snmptable -ib,.1.3.6.1.2.1.4.22 ,IP-MIB, ipNetToMediaTable
walk icmp,snmpwalk,.1.3.6.1.2.1.5,RFC1213-MIB,icmp                    
walk tcp,snmpwalk,.1.3.6.1.2.1.6,TCP-MIB,tcp
table tcpConnTable,snmptable -ib,.1.3.6.1.2.1.6.13,TCP-MIB,tcpConnTable
walk udp,snmpwalk,. 1.3.6.1.2.1.7,UDP-MIB,udp
table udpTable,snmptable -ib,.1.3.6.1.2.1.7.5 ,UDP-MIB,udpTable
table cQIfTable,snmptable -ib,.1.3.6.1.4.1.9.9.37.1.1,CISCO-QUEUE-MIB,cQIfTable
table cQStatsTable,snmptable -ib,.1.3.6.1.4.1.9.9.37.1.2,CISCO-QUEUE-MIB,cQStatsTable
table rs232PortTable,snmptable -ib, .1.3.6.1.2.1.10.33.2,RS-232-MIB,rs232PortTable
table rs232AsyncPortTable,snmptable -ib, .1.3.6.1.2.1.10.33.3 ,RS-232-MIB,rs232AsyncPortTable
table rs232SyncPortTable,snmptable -ib, .1.3.6.1.2.1.10.33.4,RS-232-MIB,rs232SyncPortTable
